Year,Country Code,Region or country,Occurence,Observation
2021,E12000001,north-east,Fatal collisions,10
2021,E12000002,north-west,Fatal collisions,20
2021,E12000003,yorkshire-and-humberside,Fatal collisions,20
2021,E12000004,east-midlands,Fatal collisions,20
2021,E12000005,west-midlands,Fatal collisions,30
2021,E12000006,eastern,Fatal collisions,50
2021,E12000007,south-east,Fatal collisions,30
2021,E12000008,london,Fatal collisions,10
2021,E12000009,south-west,Fatal collisions,30
2021,E92000001,england,Fatal collisions,220
2021,W92000004,wales,Fatal collisions,10
2021,S92000003,scotland,Fatal collisions,10
2021,K02000001,great-britain,Fatal collisions,240
2020,E12000001,north-east,Fatal collisions,10
2020,E12000002,north-west,Fatal collisions,20
2020,E12000003,yorkshire-and-humberside,Fatal collisions,20
2020,E12000004,east-midlands,Fatal collisions,20
2020,E12000005,west-midlands,Fatal collisions,20
2020,E12000006,eastern,Fatal collisions,20
2020,E12000007,south-east,Fatal collisions,40
2020,E12000008,london,Fatal collisions,10
2020,E12000009,south-west,Fatal collisions,20
2020,E92000001,england,Fatal collisions,180
2020,W92000004,wales,Fatal collisions,10
2020,S92000003,scotland,Fatal collisions,10
2020,K02000001,great-britain,Fatal collisions,200
2019,E12000001,north-east,Fatal collisions,10
2019,E12000002,north-west,Fatal collisions,10
2019,E12000003,yorkshire-and-humberside,Fatal collisions,20
2019,E12000004,east-midlands,Fatal collisions,20
2019,E12000005,west-midlands,Fatal collisions,20
2019,E12000006,eastern,Fatal collisions,30
2019,E12000007,south-east,Fatal collisions,40
2019,E12000008,london,Fatal collisions,10
2019,E12000009,south-west,Fatal collisions,20
2019,E92000001,england,Fatal collisions,180
2019,W92000004,wales,Fatal collisions,10
2019,S92000003,scotland,Fatal collisions,20
2019,K02000001,great-britain,Fatal collisions,210
2018,E12000001,north-east,Fatal collisions,0
2018,E12000002,north-west,Fatal collisions,30
2018,E12000003,yorkshire-and-humberside,Fatal collisions,20
2018,E12000004,east-midlands,Fatal collisions,30
2018,E12000005,west-midlands,Fatal collisions,10
2018,E12000006,eastern,Fatal collisions,20
2018,E12000007,south-east,Fatal collisions,30
2018,E12000008,london,Fatal collisions,10
2018,E12000009,south-west,Fatal collisions,20
2018,E92000001,england,Fatal collisions,180
2018,W92000004,wales,Fatal collisions,10
2018,S92000003,scotland,Fatal collisions,20
2018,K02000001,great-britain,Fatal collisions,210
2017,E12000001,north-east,Fatal collisions,0
2017,E12000002,north-west,Fatal collisions,20
2017,E12000003,yorkshire-and-humberside,Fatal collisions,20
2017,E12000004,east-midlands,Fatal collisions,20
2017,E12000005,west-midlands,Fatal collisions,30
2017,E12000006,eastern,Fatal collisions,30
2017,E12000007,south-east,Fatal collisions,40
2017,E12000008,london,Fatal collisions,10
2017,E12000009,south-west,Fatal collisions,30
2017,E92000001,england,Fatal collisions,200
