Year,Country Code,Region or country,Occurence,Observation
2021,E12000001,North East,Fatal collisions,10
2021,E12000002,North West,Fatal collisions,20
2021,E12000003,Yorkshire and Humberside,Fatal collisions,20
2021,E12000004,East Midlands,Fatal collisions,20
2021,E12000005,West Midlands,Fatal collisions,30
2021,E12000006,Eastern,Fatal collisions,50
2021,E12000007,South East,Fatal collisions,30
2021,E12000008,London,Fatal collisions,10
2021,E12000009,South West,Fatal collisions,30
2021,E92000001,England,Fatal collisions,220
2021,W92000004,Wales,Fatal collisions,10
2021,S92000003,Scotland,Fatal collisions,10
2021,K02000001,Great Britain,Fatal collisions,240
2020,E12000001,North East,Fatal collisions,10
2020,E12000002,North West,Fatal collisions,20
2020,E12000003,Yorkshire and Humberside,Fatal collisions,20
2020,E12000004,East Midlands,Fatal collisions,20
2020,E12000005,West Midlands,Fatal collisions,20
2020,E12000006,Eastern,Fatal collisions,20
2020,E12000007,South East,Fatal collisions,40
2020,E12000008,London,Fatal collisions,10
2020,E12000009,South West,Fatal collisions,20
2020,E92000001,England,Fatal collisions,180
2020,W92000004,Wales,Fatal collisions,10
2020,S92000003,Scotland,Fatal collisions,10
2020,K02000001,Great Britain,Fatal collisions,200
2019,E12000001,North East,Fatal collisions,10
2019,E12000002,North West,Fatal collisions,10
2019,E12000003,Yorkshire and Humberside,Fatal collisions,20
2019,E12000004,East Midlands,Fatal collisions,20
2019,E12000005,West Midlands,Fatal collisions,20
2019,E12000006,Eastern,Fatal collisions,30
2019,E12000007,South East,Fatal collisions,40
2019,E12000008,London,Fatal collisions,10
2019,E12000009,South West,Fatal collisions,20
2019,E92000001,England,Fatal collisions,180
2019,W92000004,Wales,Fatal collisions,10
2019,S92000003,Scotland,Fatal collisions,20
2019,K02000001,Great Britain,Fatal collisions,210
2018,E12000001,North East,Fatal collisions,0
2018,E12000002,North West,Fatal collisions,30
2018,E12000003,Yorkshire and Humberside,Fatal collisions,20
2018,E12000004,East Midlands,Fatal collisions,30
2018,E12000005,West Midlands,Fatal collisions,10
2018,E12000006,Eastern,Fatal collisions,20
2018,E12000007,South East,Fatal collisions,30
2018,E12000008,London,Fatal collisions,10
2018,E12000009,South West,Fatal collisions,20
2018,E92000001,England,Fatal collisions,180
2018,W92000004,Wales,Fatal collisions,10
2018,S92000003,Scotland,Fatal collisions,20
2018,K02000001,Great Britain,Fatal collisions,210
2017,E12000001,North East,Fatal collisions,0
2017,E12000002,North West,Fatal collisions,20
2017,E12000003,Yorkshire and Humberside,Fatal collisions,20
2017,E12000004,East Midlands,Fatal collisions,20
2017,E12000005,West Midlands,Fatal collisions,30
2017,E12000006,Eastern,Fatal collisions,30
2017,E12000007,South East,Fatal collisions,40
2017,E12000008,London,Fatal collisions,10
2017,E12000009,South West,Fatal collisions,30
2017,E92000001,England,Fatal collisions,200
