Year,Country Code,Fatal collisions,Serious collisions (unadjusted) ,Serious collisions (adjusted),Slight collisions (unadjusted),Slight collisions (adjusted),Total collisions,Region or country,Killed,Seriously injured (unadjusted) ,Seriously injured (adjusted),Killed or seriously injured (KSI) unadjusted,Killed or seriously injured (KSI) adjusted,Slightly injured (unadjusted),Slightly injured (adjusted),Total casualties
2021,E12000001,10,40,40,80,80,130,North East,10,60,60,70,80,160,160,230
2021,E12000002,20,110,130,320,310,460,North West,30,130,150,160,170,530,510,690
2021,E12000003,20,140,150,280,270,440,Yorkshire and Humberside,20,190,200,220,220,440,430,650
2021,E12000004,20,100,140,340,300,460,East Midlands,20,120,170,150,190,520,470,660
2021,E12000005,30,90,90,260,260,380,West Midlands,30,130,130,160,160,400,400,560
2021,E12000006,50,140,140,370,360,550,Eastern,50,180,180,230,230,600,600,830
2021,E12000007,30,200,230,630,600,860,South East,40,250,280,290,320,920,890,1210
2021,E12000008,10,110,110,400,400,510,London,10,120,120,120,130,540,540,660
2021,E12000009,30,110,130,360,340,490,South West,30,140,160,160,180,540,520,710
2021,E92000001,220,1040,1160,3030,2910,4290,England,240,1310,1450,1550,1690,4660,4520,6210
2021,W92000004,10,60,80,150,130,220,Wales,20,70,100,90,110,230,210,320
2021,S92000003,10,60,60,90,90,150,Scotland,10,70,70,80,80,130,130,210
2021,K02000001,240,1160,1290,3260,3130,4660,Great Britain,260,1460,1610,1720,1880,5020,4860,6740
2020,E12000001,10,40,40,90,80,130,North East,10,40,50,50,60,150,140,200
2020,E12000002,20,100,120,300,290,430,North West,30,120,140,150,170,480,460,630
2020,E12000003,20,110,120,260,240,390,Yorkshire and Humberside,30,130,150,160,170,400,380,550
2020,E12000004,20,90,130,400,360,500,East Midlands,20,110,150,130,170,550,510,680
2020,E12000005,20,80,80,290,290,390,West Midlands,20,110,110,130,130,460,460,590
2020,E12000006,20,110,110,400,400,520,Eastern,20,120,120,140,140,580,580,720
2020,E12000007,40,170,200,680,660,890,South East,40,210,240,250,280,980,950,1230
2020,E12000008,10,90,90,430,430,530,London,10,100,100,110,110,600,600,710
2020,E12000009,20,80,90,320,310,420,South West,20,90,110,120,130,470,460,590
2020,E92000001,180,860,970,3170,3050,4200,England,190,1030,1160,1230,1360,4670,4540,5890
2020,W92000004,10,50,70,150,140,210,Wales,10,60,80,70,90,240,220,310
2020,S92000003,10,50,60,120,120,190,Scotland,20,60,60,80,80,170,170,250
2020,K02000001,200,960,1100,3440,3310,4600,Great Britain,220,1150,1300,1370,1520,5080,4930,6450
2019,E12000001,10,50,50,110,110,160,North East,10,60,60,70,70,190,180,250
2019,E12000002,10,140,170,360,330,510,North West,10,170,210,180,220,650,620,840
2019,E12000003,20,120,140,280,260,420,Yorkshire and Humberside,20,150,170,170,190,490,470,660
2019,E12000004,20,120,160,410,370,550,East Midlands,30,140,190,160,210,610,560,770
2019,E12000005,20,110,110,280,280,400,West Midlands,20,130,140,150,160,430,420,580
2019,E12000006,30,130,130,450,450,610,Eastern,30,160,160,190,190,710,710,900
2019,E12000007,40,220,250,710,680,980,South East,50,270,300,310,350,1090,1050,1400
2019,E12000008,10,120,120,530,530,660,London,20,130,130,150,150,720,720,860
2019,E12000009,20,110,130,430,410,560,South West,20,130,160,160,180,640,620,800
2019,E92000001,180,1100,1250,3550,3410,4840,England,200,1340,1510,1540,1710,5510,5340,7050
2019,W92000004,10,70,90,200,180,290,Wales,10,90,110,100,130,300,270,400
2019,S92000003,20,70,90,150,130,230,Scotland,20,90,110,110,130,240,220,350
2019,K02000001,210,1240,1430,3900,3720,5350,Great Britain,230,1510,1730,1740,1960,6050,5830,7800
2018,E12000001,0,60,60,160,160,220,North East,0,60,70,70,70,270,270,340
2018,E12000002,30,110,160,490,450,630,North West,30,140,200,180,230,750,690,930
2018,E12000003,20,120,140,350,330,490,Yorkshire and Humberside,30,150,180,180,210,560,530,740
2018,E12000004,30,110,150,440,400,580,East Midlands,40,140,190,180,230,690,640,870
2018,E12000005,10,60,60,400,400,470,West Midlands,20,70,80,90,90,660,660,750
2018,E12000006,20,110,110,500,500,620,Eastern,20,120,120,140,140,750,750,890
2018,E12000007,30,200,240,850,820,1080,South East,40,240,290,280,320,1270,1220,1550
2018,E12000008,10,120,120,630,630,760,London,10,130,130,140,140,950,950,1090
2018,E12000009,20,90,110,420,400,530,South West,20,120,140,140,160,630,610,770
2018,E92000001,180,970,1140,4230,4070,5390,England,200,1190,1390,1390,1600,6530,6330,7920
2018,W92000004,10,60,70,170,150,230,Wales,20,70,90,80,100,300,280,380
2018,S92000003,20,60,100,210,170,280,Scotland,20,70,120,90,130,310,260,400
2018,K02000001,210,1090,1310,4610,4390,5900,Great Britain,240,1330,1600,1570,1830,7130,6870,8700
2017,E12000001,0,40,40,130,130,180,North East,0,50,60,60,60,260,260,320
2017,E12000002,20,110,150,440,400,580,North West,20,140,190,160,210,690,640,850
2017,E12000003,20,120,140,310,300,460,Yorkshire and Humberside,30,150,170,170,200,520,490,690
2017,E12000004,20,90,120,390,350,500,East Midlands,20,120,160,140,180,580,530,720
2017,E12000005,30,90,90,380,370,500,West Midlands,30,120,130,160,160,640,640,790
